t,s_mm_fore,s_mm_hind,beta_deg_fore,beta_deg_hind,alpha_deg_fore,alpha_deg_hind,d_mm_fore,d_mm_hind
0.9400000000000001,-2.1899288671644115,10.287471218490778,17.90785383627109,16.607230522851857,-22.87974144792567,-18.392368707812395,-0.53111687881195,-0.13148748082080555
0.96,0.10943212169719087,13.152829339960268,19.419118771833674,17.339633738156042,-23.332215406258985,-17.808107261894282,-0.6224024108132765,0.06869226049156693
0.98,2.514644480859109,16.19398775800024,20.345446231736528,17.234725240162337,-23.698406767368123,-17.953006938641064,-0.6851122668926287,0.42335897993041516
1.0,4.903506076554688,19.004962940025695,21.3776490008107,19.797298286298144,-23.258161834935652,-18.09790661538785,-0.6655418778382445,0.751874701574845
1.02,7.398923048948406,21.338846613698635,23.312046322787253,21.056350195349722,-22.797089465118166,-21.893936230076836,-0.582226699595113,0.997070714647071
1.04,9.889815082336755,23.290977206130886,23.211786939568018,25.46986123964606,-22.24678329957768,-28.503853013013845,-0.4700455139318046,1.484433442176149
1.06,12.371618263767761,24.916327776537116,23.521583098059516,31.56381995322213,-22.7011566540349,-29.52802933823736,-0.31045407885069304,1.7549741477327647
1.08,14.540176566714008,25.144376465599944,24.903366540599663,38.072270015533874,-25.715838002049548,7.02026314028743,-0.08766149145538077,2.02006502301013
1.1,16.4563653793807,25.2116121489279,27.784201907381966,48.90395110065082,-31.545050425178072,43.56855561881222,0.12078771719299057,1.8568870596496563
1.12,17.74776042045513,24.646566822428113,31.054458947460077,57.872316392173474,-41.930074053109195,80.11684809733701,0.19048828153060723,1.5403153815461048
1.1400000000000001,18.546779117330765,23.28442113527995,34.64040869942884,69.32269135409697,-30.426366262016025,116.6651405758618,0.12937977908643236,0.9137664244979643
1.16,18.718837810154234,21.967186958880077,38.90274103579432,84.68555544407718,3.3738848819844462,142.767930114789,-0.04450608708325049,0.4306895101067366
1.18,18.324687883355956,20.352003749626764,43.616812411305105,90.87301518346125,37.17413602598529,112.25356410075042,-0.5114162649949976,-0.30925253684039705
1.2,17.357283213343134,18.73906819128757,47.87235009821924,94.76185069924553,70.97438716998614,86.92736841617375,-1.1571850901215652,-0.8206215226870028
1.22,16.09542589794239,16.567660950738112,53.01082319140812,99.77359086823685,104.77463831398698,72.87150663231985,-1.852115646629218,-0.6080709693726879
1.24,14.669447956157214,14.18410972104273,62.46657994816601,101.88263165858878,138.57488945798784,64.68519920688203,-2.3548021287950145,-0.33101858669699424
1.26,13.166360928041545,11.773883100932473,73.95651600660614,102.2300119042935,114.61850921602282,67.6009575113269,-2.496141640134682,0.09859047237825407
1.28,10.829246904332724,9.400261032245005,84.99477052124902,101.621818617937,78.44041289554565,70.70684007373123,-2.1993750578272353,0.5476161745670637
1.3,8.951896383559037,6.974610009317993,93.98949566833794,100.94468770511813,59.909978854467504,76.01134746999526,-1.5849092565739822,0.7568679493117544
1.32,6.939024521561,4.754581449899454,98.30451276753772,100.04042769243429,51.676617483228156,81.76999681105268,-0.6730355863514126,0.5542341011330546
1.34,4.9180648470613635,2.6714586888220784,99.15160462407019,97.09412528484556,54.6302184055791,85.58386164351845,0.32029000425115123,0.3560923042158878
